Name,Price,Seller,Image
Laptop Colorful AT i7 11800H/ 3060 6G DDR6/ 16G3200-D4/ SSD 512GB - Hàng Chính Hãng,42900000,COLORFUL OFFICIAL,https://salt.tikicdn.com/cache/280x280/ts/product/89/7f/40/855ce7cff3781784f0722572d1256412.jpg
Laptop HP Pavilion X360 14-ek0134TU 7C0P8PA i5-1235U | 8GB | 512GB | 14' Touch Hàng chính hãng,19670000,HP Flagship Ben Computer Store,https://salt.tikicdn.com/cache/280x280/ts/product/05/ef/12/3e057147955a1e70916f1c122e343a82.jpg
Máy Tính Xách Tay Laptop Acer Gaming Aspire 7 A715-42G-R4XX (R5 5500U/8GB RAM/256GB SSD/15.6 inch FHD/GTX1650 4G/Win11/Đen) - Hàng Chính Hãng,15480000,GIA DỤNG VIỆT,https://salt.tikicdn.com/cache/280x280/ts/product/69/81/53/5fb1fcc2b1c0a9ae927a15dadf451edd.jpg
Laptop HP Victus Gaming 16-D0292TX i5-11400H/8GB/512GB/Win11 5Z9R3PA - Hàng chính hãng,18990000,Nguyễn Kim Official,https://salt.tikicdn.com/cache/280x280/ts/product/14/c9/d9/ea0843ff31d5c185a1d31b0ca83a1aba.jpg
Laptop Gigabyte AERO 16 XE5-73VN938AH i7-12700H|2TB|GeForce RTX 3070Ti|15.6' UHD AMOLED Hàng chính hãng,82990000,Hangchinhhieu(TP.HCM),https://salt.tikicdn.com/cache/280x280/ts/product/0f/5c/07/c4626832f5e723306aaacd1fbaca404c.jpg
"MSI Laptop Crosshair 15 B12UEZ-460VN|Intel i7-12700H|RTX 3060|Ram 16GB|1TB SSD|15.6"" QHD,165Hz, 100% [Hàng chính hãng]",39990000,MSI Laptop Official Store,https://salt.tikicdn.com/cache/280x280/ts/product/e4/16/e1/db84d0658f446c312d3f7de743b0349b.jpg
"Bàn phím cơ gaming 5TECH Led RGB 10 chế độ nháy cực đẹp, chơi game gõ siêu đã, thiết kế nhỏ gọn dùng cho máy tính, laptop hàng chính hãng",349000,Gomall,https://salt.tikicdn.com/cache/280x280/ts/product/cc/dc/3d/a988d1e5df285d059059cd769c9ef3ac.jpg
"MSI Laptop Katana 15 B13VFK-676VN| Intel i7-13620H| Card RTX 4060|Ram DDR5 16GB|Bộ nhớ 1TB SSD|15.6"" FHD,144Hz [Hàng Chính hãng]",37490000,MSI Laptop Official Store,https://salt.tikicdn.com/cache/280x280/ts/product/76/bd/1f/5b08fbce9ba59e8b527c8d38dfe49c63.jpg
Laptop Lenovo Legion 5 15ARH7 82RE0035VN (R7-6800H | 8GB | 512GB | GeForce RTX 3050 4GB | 15.6' FHD 165Hz) Hàng chính hãng,27990000,Hangchinhhieu(TP.HCM),https://salt.tikicdn.com/cache/280x280/ts/product/86/52/5e/c5c1c3eac4d6c84389a7d37681c3d866.png
"Acer Nitro AN515 57 720A i7 11800H/8GB/512GB/4GB RTX3050Ti/15.6""F/144Hz/Win11/(NH.QEQSV.004)/Đen - Hàng chính hãng",25714000,Ben Computer,https://salt.tikicdn.com/cache/280x280/ts/product/cd/98/bd/ebc67ed07832305a1741463ef83f803c.jpg
Laptop MSI Crosshair 15 B12UEZ-460VN (i7-12700H | 16GB | 1TB | GeForce RTX 3060 6GB | 15.6' QHD 165Hz DCI-P3 100%) Hàng chính hãng,43990000,Hangchinhhieu(TP.HCM),https://salt.tikicdn.com/cache/280x280/ts/product/97/b0/70/beed7135cd3cbc40c19b132601b52c8c.jpg
"Bàn Phím Cơ Gaming Deli VS788 PRO LED RGB Chế Độ Nháy Cực Đẹp Khác Nhau, Phím Cơ Gõ Siêu Đã, Thiết Kế Nhỏ Gọn Tương Thích Với Laptop, PC, Máy Tính, Kiểu Dáng Gamer Game Thủ eSport Bàn Phím Văn Phòng - Hàng Chính Hãng",439000,Deli Official Store,https://salt.tikicdn.com/cache/280x280/ts/product/1a/89/a8/9d418feb34b20596a1e8ead9a79f7aee.png
