title,mileage,primary_price,dealer_name,sds_rating_count,sds_rating_link_sds_button_link,link
2021 Mercedes-Benz AMG G 63 Base,"27,700 mi.","$191,043",Mercedes-Benz of Clearwater,4.7,454 reviews,https://www.cars.com/vehicledetail/62daeb12-02d9-4ca4-9a9d-247434e59bd6/
2018 Mercedes-Benz SL 550 Base,"14,482 mi.","$77,990",Mercedes-Benz of Sarasota,4.7,"1,964 reviews",https://www.cars.com/vehicledetail/4e856071-5635-41da-9669-0774c283fe29/
2019 Mercedes-Benz Maybach S 650 Base,"33,179 mi.","$130,000",Mercedes-Benz of South Orlando,4.5,"1,374 reviews",https://www.cars.com/vehicledetail/868f69dc-46f1-40f6-a406-8ce5f50a29e7/
2021 Mercedes-Benz GLE 450 4MATIC,"41,238 mi.","$66,780",Mercedes-Benz of Cary,4.9,"1,773 reviews",https://www.cars.com/vehicledetail/db590b6a-5341-4141-800d-4d3291bec0ae/
2016 Mercedes-Benz E-Class E 350 4MATIC,"25,583 mi.","$29,994",Mercedes-Benz of Chicago,4.8,"1,313 reviews",https://www.cars.com/vehicledetail/b592fd56-57e9-4a6a-a9a7-1413e99b7b70/
2023 Mercedes-Benz E-Class E 350 4MATIC,"3,335 mi.","$61,999",Mercedes-Benz of Hoffman Estates,4.6,"1,178 reviews",https://www.cars.com/vehicledetail/4eb8429d-8f86-4618-8028-3a32d9391ad9/
2023 Mercedes-Benz Sprinter 2500 HIGH ROOF DIESEL HO 170,"6,168 mi.","$62,698",Mercedes-Benz of Nashville,4.5,912 reviews,https://www.cars.com/vehicledetail/4d286d54-a43b-426d-ad68-7e0f67ee1278/
2020 Mercedes-Benz GLA 250 Base,"38,183 mi.","$30,922",RBM of Atlanta,4.2,"1,026 reviews",https://www.cars.com/vehicledetail/a96bcfa0-2bdb-445a-b8a0-3a812bac7917/
2022 Mercedes-Benz AMG SL 63 Base,837 mi.,"$168,455",Mercedes-Benz of Clearwater,4.7,454 reviews,https://www.cars.com/vehicledetail/451ba086-27c9-464e-9c64-9b4a31a692d1/
2020 Mercedes-Benz GLE 350 Base 4MATIC,"40,659 mi.","$48,400",Mercedes-Benz of Chantilly,4.7,955 reviews,https://www.cars.com/vehicledetail/a8d0daed-a844-437d-8f58-a63cedd9e77b/
2022 Mercedes-Benz S-Class S 500 4MATIC,"15,922 mi.","$104,999",Euro Motorcars Germantown,4.6,199 reviews,https://www.cars.com/vehicledetail/96532ef9-36dc-432c-8eba-97c441b44937/
2020 Mercedes-Benz GLB 250 Base 4MATIC,"15,906 mi.","$38,654",Mercedes-Benz Doylestown,4.5,472 reviews,https://www.cars.com/vehicledetail/9a6c60d5-00d8-467a-a86c-bd8b6dc7c8c9/
2020 Mercedes-Benz SLC 300 Base,"12,999 mi.","$49,999",Mercedes-Benz of Stockton,4.2,127 reviews,https://www.cars.com/vehicledetail/36d2b295-16d1-442f-a5e6-6c67c053570c/
2019 Mercedes-Benz S-Class S 560 4MATIC,"10,772 mi.","$72,881",Euro Motorcars Bethesda,4.6,597 reviews,https://www.cars.com/vehicledetail/ad4e48df-95e2-4a0a-9d90-45a7f8de2224/
2020 Mercedes-Benz GLS 450 Base 4MATIC,"41,571 mi.","$67,995",Mercedes-Benz of Morristown,4.8,574 reviews,https://www.cars.com/vehicledetail/731dfd04-1e27-4a7f-9c5c-6c7fd0258ea0/
2020 Mercedes-Benz AMG C 43 Base 4MATIC,"46,435 mi.","$48,881",Mercedes-Benz Of Athens,4.2,275 reviews,https://www.cars.com/vehicledetail/67da32d1-3895-4be1-9e66-971c06b961a6/
2021 Mercedes-Benz C-Class C 300,"13,702 mi.","$39,987",RBM of Atlanta,4.2,"1,026 reviews",https://www.cars.com/vehicledetail/0c893e8c-d23b-4ffc-8f5d-35fef5d14c62/
2022 Mercedes-Benz CLA 250 ,"5,399 mi.","$42,500",Mercedes-Benz of Palm Beach,4.6,105 reviews,https://www.cars.com/vehicledetail/428f6409-e4e8-4243-bd32-307023d416d9/
2021 Mercedes-Benz AMG G 63 Base,"21,287 mi.","$185,986",Mercedes-Benz of Walnut Creek,4.5,"1,009 reviews",https://www.cars.com/vehicledetail/3492629e-4af4-4644-a5b7-8335a5ef7927/
2020 Mercedes-Benz S-Class S 560,"21,058 mi.","$72,000",Mercedes-Benz of South Orlando,4.5,"1,374 reviews",https://www.cars.com/vehicledetail/fc206811-9e16-4a88-aef5-1358370628f7/
2021 Mercedes-Benz S-Class S 580 4MATIC,"9,851 mi.","$101,727",Mercedes-Benz of Fort Washington,4.5,"2,714 reviews",https://www.cars.com/vehicledetail/4a88f482-6379-41e3-a464-02c57653ba2f/
2016 Mercedes-Benz E-Class E 350 4MATIC,"81,593 mi.","$25,987",Mercedes-Benz of Ann Arbor,sds-rating--not-rated,465 reviews,https://www.cars.com/vehicledetail/9998a731-c6fa-4f56-bc4f-1e61c4dbf97b/
2020 Mercedes-Benz E-Class E 350 4MATIC,"44,450 mi.","$41,999",Napleton Autowerks Loves Park,4.9,841 reviews,https://www.cars.com/vehicledetail/1ff63008-77ec-4b1a-b63a-f2628908c0bd/
2022 Mercedes-Benz G-Class G 550 4MATIC,"1,796 mi.","$189,994",Mercedes-Benz of Scottsdale,3.3,461 reviews,https://www.cars.com/vehicledetail/6fbddbe9-0976-4bdd-99df-9312c693adb1/
2020 Mercedes-Benz S-Class S 560 4MATIC,"40,988 mi.","$71,498",Mercedes-Benz of Wichita,sds-rating--not-rated,109 reviews,https://www.cars.com/vehicledetail/958c98fe-43e7-4b43-ad9b-31f76e6e30de/
2021 Mercedes-Benz GLE 580 AWD 4MATIC,"10,610 mi.","$84,994",Mercedes-Benz of Chicago,4.8,"1,313 reviews",https://www.cars.com/vehicledetail/f28566c0-108a-491e-bf52-6def0eee7332/
2019 Mercedes-Benz E-Class E 300 4MATIC,"47,629 mi.","$37,888",Mercedes-Benz of Edison,5.0,"3,831 reviews",https://www.cars.com/vehicledetail/91d4b5f5-481c-46f9-8a9d-bcdf19bbf00b/
2020 Mercedes-Benz GLC 300 4MATIC Coupe,"26,283 mi.","$49,894",Mercedes-Benz of North Olmsted,4.7,"1,529 reviews",https://www.cars.com/vehicledetail/754ed570-3893-4b26-84b3-7e7a4c958183/
2020 Mercedes-Benz GLE 350 Base 4MATIC,"37,615 mi.","$47,188",Great Lakes Hyundai,4.8,823 reviews,https://www.cars.com/vehicledetail/79e31d8e-46e9-47e2-a63e-367207404102/
2022 Mercedes-Benz GLB 250 Base 4MATIC,"10,971 mi.","$49,948",Mercedes-Benz of Burlington,3.4,270 reviews,https://www.cars.com/vehicledetail/7dbf3eab-1e68-4145-9a19-8526ca5120c4/
2020 Mercedes-Benz GLE 350 Base 4MATIC,"34,447 mi.","$49,600",Mercedes-Benz of Catonsville,4.3,473 reviews,https://www.cars.com/vehicledetail/a9466cfd-41c7-4646-b3f9-55b804c11fef/
2020 Mercedes-Benz E-Class E 350 4MATIC,"40,107 mi.","$38,582",Mercedes-Benz of Rockville Centre,4.8,"1,394 reviews",https://www.cars.com/vehicledetail/9665a6c7-48ea-4b13-a13c-ecad652b36fb/
2021 Mercedes-Benz G-Class G 550 4MATIC,"7,868 mi.","$163,999",Mercedes-Benz of Hoffman Estates,4.6,"1,178 reviews",https://www.cars.com/vehicledetail/ebb97741-7843-4631-bda0-4ae60f2ccf99/
2019 Mercedes-Benz S-Class S 450 4MATIC,"42,996 mi.","$55,999",Mercedes-Benz of Hoffman Estates,4.6,"1,178 reviews",https://www.cars.com/vehicledetail/0fb54cd0-1254-4a09-924f-4f4102dff980/
2019 Mercedes-Benz GLC 300 Base 4MATIC,"25,016 mi.","$34,785",Mercedes-Benz of Fort Washington,4.5,"2,714 reviews",https://www.cars.com/vehicledetail/2d8f0c69-6b5a-40aa-a399-8af154eb1f42/
2020 Mercedes-Benz E-Class ,"34,988 mi.","$43,273",Mercedes-Benz of Tyler,4.8,256 reviews,https://www.cars.com/vehicledetail/3750e3f7-fe9b-458f-89f0-4f234aa3d62d/
2022 Mercedes-Benz S-Class ,"7,690 mi.","$99,995",Mercedes-Benz of Palm Beach,4.6,105 reviews,https://www.cars.com/vehicledetail/249ece11-23d3-456f-8761-e764448950a7/
2022 Mercedes-Benz AMG E 53 Base 4MATIC,"2,520 mi.","$87,888",RBM of Atlanta,4.2,"1,026 reviews",https://www.cars.com/vehicledetail/c3f6fa05-d71d-46a9-8741-5726cb91f7fb/
2020 Mercedes-Benz C-Class C 300 4MATIC,"26,231 mi.","$37,202",Mercedes-Benz of Asheville,4.6,247 reviews,https://www.cars.com/vehicledetail/e2dacc74-a587-4efe-bbd3-00802c7195d4/
2022 Mercedes-Benz G-Class G 550 4MATIC,"1,259 mi.","$187,542",Mercedes-Benz of Des Moines,4.0,353 reviews,https://www.cars.com/vehicledetail/a1d5e79a-1a04-4530-b061-7026a153e94e/
2020 Mercedes-Benz E-Class E 450 4MATIC,"72,977 mi.","$47,658",Mercedes-Benz of Hoffman Estates,4.6,"1,178 reviews",https://www.cars.com/vehicledetail/b8e43fdc-1622-4d58-bbb9-326574aecf80/
2018 Mercedes-Benz AMG GLE 43 Base 4MATIC,"35,130 mi.","$44,987",Mercedes-Benz of San Francisco / Smart Center San Francisco,sds-rating--not-rated,62 reviews,https://www.cars.com/vehicledetail/02d850c3-88d2-4eeb-aea9-77337fac452c/
2020 Mercedes-Benz E-Class E 450 4MATIC,"16,591 mi.","$51,999",Boucher Hyundai of Waukesha,4.5,"3,718 reviews",https://www.cars.com/vehicledetail/2f166a78-b752-472d-b9c1-6f7a3f336f3f/
2021 Mercedes-Benz GLB 250 Base 4MATIC,"39,991 mi.","$34,843",Mercedes-Benz of Burlington,3.4,270 reviews,https://www.cars.com/vehicledetail/5dc57c0c-7794-4647-94cd-d9dee18a693e/
2020 Mercedes-Benz GLB 250 Base 4MATIC,"37,946 mi.","$33,168",Mercedes-Benz of Westwood,2.3,436 reviews,https://www.cars.com/vehicledetail/983eaf22-d7fd-4de5-b727-87b9a9c267a9/
2022 Mercedes-Benz GLB 250 Base 4MATIC,"8,639 mi.","$44,848",Mercedes-Benz of Burlington,3.4,270 reviews,https://www.cars.com/vehicledetail/70526cd2-6018-474f-afce-71ffee1e05e4/
2021 Mercedes-Benz GLB 250 Base 4MATIC,"29,608 mi.","$37,643",Mercedes-Benz of Burlington,3.4,270 reviews,https://www.cars.com/vehicledetail/d7faec2f-446e-4129-97a2-3f3266104e2c/
2020 Mercedes-Benz C-Class C 300 4MATIC,"32,414 mi.","$34,992",Mercedes-Benz of Naperville,4.7,858 reviews,https://www.cars.com/vehicledetail/4297fcc7-4082-4083-9f67-8d5fde4a1348/
2021 Mercedes-Benz AMG GLC 43 Base 4MATIC,"68,244 mi.","$55,838",Mercedes-Benz of Westwood,2.3,436 reviews,https://www.cars.com/vehicledetail/6a3e1f92-3ee5-4444-978a-3151a02c31ad/
2021 Mercedes-Benz AMG GLC 63 S 4MATIC,"17,506 mi.","$83,987",Mercedes-Benz of Farmington,3.9,272 reviews,https://www.cars.com/vehicledetail/739a5107-bea8-42b4-969c-2edbea8f7b0d/
2021 Mercedes-Benz AMG E 53 Base 4MATIC,"3,641 mi.","$79,998",Baker Motor Company of Charleston,2.4,208 reviews,https://www.cars.com/vehicledetail/17dd60f3-7030-4750-ad87-9bc73b1f9ba4/
2019 Mercedes-Benz E-Class E 300 4MATIC,"34,838 mi.","$39,995",Mercedes-Benz of Union,4.7,915 reviews,https://www.cars.com/vehicledetail/71a1cd87-f897-418d-95ba-dedb6360cc17/
2018 Mercedes-Benz C-Class C 300 4MATIC,"51,672 mi.","$28,991",Astorg Auto of Charleston,4.8,618 reviews,https://www.cars.com/vehicledetail/6956ebc3-3cde-4165-b1fd-b8518f25c1a6/
2019 Mercedes-Benz E-Class E 300,"31,335 mi.","$30,933",House of Imports,4.7,"1,697 reviews",https://www.cars.com/vehicledetail/0029b8ac-1076-4fd7-8548-a36b99d8d2d7/
2022 Mercedes-Benz GLS 450 4MATIC,"2,092 mi.","$97,999",Mercedes-Benz of Hoffman Estates,4.6,"1,178 reviews",https://www.cars.com/vehicledetail/e6e8395a-9a6d-4662-aade-8e130fba0ac7/
2020 Mercedes-Benz GLS 450 Base 4MATIC,"30,537 mi.","$70,500",Mercedes-Benz of Flemington,sds-rating--not-rated,29 reviews,https://www.cars.com/vehicledetail/83cf37e3-5301-4364-8cd2-2b4e578da17b/
2019 Mercedes-Benz AMG GT 63 S 4-Door,"9,459 mi.","$127,991",Mercedes-Benz of Houston Greenway,4.8,"2,580 reviews",https://www.cars.com/vehicledetail/f92b7b53-7c42-42ca-839f-ed81cbda9304/
2022 Mercedes-Benz G-Class G 550 4MATIC,"1,536 mi.","$174,994",Mercedes-Benz of North Olmsted,4.7,"1,529 reviews",https://www.cars.com/vehicledetail/4919c09f-7558-46bc-abb2-2e03bad9785e/
2022 Mercedes-Benz CLA 250 Base 4MATIC,"6,532 mi.","$42,417",Mercedes-Benz of North Olmsted,4.7,"1,529 reviews",https://www.cars.com/vehicledetail/de30698b-9158-4637-9850-4c205101cd36/
2023 Mercedes-Benz C-Class C 300 4MATIC,"1,627 mi.","$56,000",Mercedes-Benz of Knoxville,4.8,336 reviews,https://www.cars.com/vehicledetail/d33f4839-29c9-4269-841f-0da28b43da2b/
2019 Mercedes-Benz GLS 450 Base 4MATIC,"38,179 mi.","$52,900",Mercedes Benz Manhattan Inc.,3.5,464 reviews,https://www.cars.com/vehicledetail/1cd312b3-e4ce-4b8d-8823-9ded3a185f5a/
2021 Mercedes-Benz S-Class S 580 4MATIC,"8,538 mi.","$95,980",House of Imports,4.7,"1,697 reviews",https://www.cars.com/vehicledetail/2ee0961f-23a4-4379-b01c-a99e4d47023c/
2022 Mercedes-Benz AMG GLC 43 Base 4MATIC,"9,458 mi.","$62,900",Mercedes Benz Manhattan Inc.,3.5,464 reviews,https://www.cars.com/vehicledetail/30a26b68-6d07-4f77-aabf-36636740843c/
2020 Mercedes-Benz SLC 300 Base,"12,795 mi.","$50,999",Mercedes-Benz of Fredericksburg,4.7,427 reviews,https://www.cars.com/vehicledetail/6af633c1-3e22-453d-8ada-9ea06b3b8320/
